thr,treat,date,fips,Z,G,tau_dir_log,tau_peer_log,tau_overall_log,sigma_log
0.25,vax2,2021-02-15,1037,0,0.0,-0.048615014819755935,0.0,-0.048615014819755935,0.027373177276530904
0.25,vax2,2021-02-15,1039,0,0.0,0.01783992964413045,0.0,0.01783992964413045,0.027373177276530904
0.25,vax2,2021-02-15,1041,0,0.0,0.0012545472942971402,0.0,0.0012545472942971402,0.027373177276530904
0.25,vax2,2021-02-15,1043,0,0.0,0.0377476733541936,0.0,0.0377476733541936,0.027373177276530904
0.25,vax2,2021-02-15,1045,1,0.0,0.001203104765668065,0.0,0.001203104765668065,0.027373177276530904
0.25,vax2,2021-02-15,1047,0,0.0,0.014752568811394239,0.0,0.014752568811394239,0.027373177276530904
0.25,vax2,2021-02-15,1049,0,0.0,0.03959102475081199,0.0,0.03959102475081199,0.027373177276530904
0.25,vax2,2021-02-15,1051,0,0.0,-0.0006120847965620626,0.0,-0.0006120847965620626,0.027373177276530904
0.25,vax2,2021-02-15,1053,0,0.0,-0.0016911053763527012,0.0,-0.0016911053763527012,0.027373177276530904
0.25,vax2,2021-02-15,1055,0,0.0,0.007413317801518856,0.0,0.007413317801518856,0.027373177276530904
0.25,vax2,2021-02-15,1057,0,0.0,0.007370449347171082,0.0,0.007370449347171082,0.027373177276530904
0.25,vax2,2021-02-15,1059,0,0.0,0.04577612204524037,0.0,0.04577612204524037,0.027373177276530904
0.25,vax2,2021-02-15,1061,0,0.0,0.006017561691712183,0.0,0.006017561691712183,0.027373177276530904
0.25,vax2,2021-02-15,1063,0,0.0,-0.02041327857877716,0.0,-0.02041327857877716,0.027373177276530904
0.25,vax2,2021-02-15,1065,0,0.0,-0.012652970749672388,0.0,-0.012652970749672388,0.027373177276530904
0.25,vax2,2021-02-15,1067,0,0.0,-0.008162888304536698,0.0,-0.008162888304536698,0.027373177276530904
0.25,vax2,2021-02-15,1069,0,0.0,0.0119413895358808,0.0,0.0119413895358808,0.027373177276530904
0.25,vax2,2021-02-15,1071,0,0.0,0.03486764597568534,0.0,0.03486764597568534,0.027373177276530904
0.25,vax2,2021-02-15,1073,0,0.0,-0.010321118931418514,0.0,-0.010321118931418514,0.027373177276530904
0.25,vax2,2021-02-15,1075,0,0.0,0.028012246835485782,0.0,0.028012246835485782,0.027373177276530904
0.25,vax2,2021-02-15,1077,0,0.0,0.007232697266010802,0.0,0.007232697266010802,0.027373177276530904
0.25,vax2,2021-02-15,1079,0,0.0,-0.0026901158243546265,0.0,-0.0026901158243546265,0.027373177276530904
0.25,vax2,2021-02-15,1081,0,0.0,-0.0013293147437587558,0.0,-0.0013293147437587558,0.027373177276530904
0.25,vax2,2021-02-15,1083,0,0.0,0.0032113183963546036,0.0,0.0032113183963546036,0.027373177276530904
0.25,vax2,2021-02-15,1085,0,0.0,0.026455996439144668,0.0,0.026455996439144668,0.027373177276530904
0.25,vax2,2021-02-15,1087,0,0.0,-0.03234956870671555,0.0,-0.03234956870671555,0.027373177276530904
0.25,vax2,2021-02-15,1089,0,0.0,-0.01983849903511721,0.0,-0.01983849903511721,0.027373177276530904
0.25,vax2,2021-02-15,1091,0,0.0,0.004184202548944075,0.0,0.004184202548944075,0.027373177276530904
0.25,vax2,2021-02-15,1093,0,0.0,0.027736059438490716,0.0,0.027736059438490716,0.027373177276530904
0.25,vax2,2021-02-15,1095,0,0.0,0.023097344720452332,0.0,0.023097344720452332,0.027373177276530904
0.25,vax2,2021-02-15,1097,0,0.0,0.004725708637632008,0.0,0.004725708637632008,0.027373177276530904
0.25,vax2,2021-02-15,1099,0,0.0,0.019404958913472194,0.0,0.019404958913472194,0.027373177276530904
0.25,vax2,2021-02-15,1101,0,0.0,0.0020957100151616343,0.0,0.0020957100151616343,0.027373177276530904
0.25,vax2,2021-02-15,1103,0,0.0,0.01833676496425213,0.0,0.01833676496425213,0.027373177276530904
0.25,vax2,2021-02-15,1105,0,0.0,0.013704681201617483,0.0,0.013704681201617483,0.027373177276530904
0.25,vax2,2021-02-15,1107,0,0.0,-0.01888430772777175,0.0,-0.01888430772777175,0.027373177276530904
0.25,vax2,2021-02-15,1109,0,0.0,0.01425106608600447,0.0,0.01425106608600447,0.027373177276530904
0.25,vax2,2021-02-15,1111,0,0.0,0.032997948284141154,0.0,0.032997948284141154,0.027373177276530904
0.25,vax2,2021-02-15,1113,0,0.0,-0.0022182450043613995,0.0,-0.0022182450043613995,0.027373177276530904
0.25,vax2,2021-02-15,1115,0,0.0,0.016643887930284366,0.0,0.016643887930284366,0.027373177276530904
0.25,vax2,2021-02-15,1117,0,0.0,-0.005463065508995573,0.0,-0.005463065508995573,0.027373177276530904
0.25,vax2,2021-02-15,1119,0,0.0,0.0328140139680125,0.0,0.0328140139680125,0.027373177276530904
0.25,vax2,2021-02-15,1121,0,0.0,-0.00030740706519146924,0.0,-0.00030740706519146924,0.027373177276530904
0.25,vax2,2021-02-15,1123,0,0.0,0.00154972601169017,0.0,0.00154972601169017,0.027373177276530904
0.25,vax2,2021-02-15,1125,0,0.0,0.0019881725062380717,0.0,0.0019881725062380717,0.027373177276530904
0.25,vax2,2021-02-15,1127,0,0.0,0.025665794009366177,0.0,0.025665794009366177,0.027373177276530904
0.25,vax2,2021-02-15,1129,0,0.0,0.016287555829498233,0.0,0.016287555829498233,0.027373177276530904
0.25,vax2,2021-02-15,1131,0,0.0,0.0195015474276976,0.0,0.0195015474276976,0.027373177276530904
0.25,vax2,2021-02-15,1133,0,0.0,0.039366445337959466,0.0,0.039366445337959466,0.027373177276530904
0.25,vax2,2021-02-15,2013,1,0.0,0.08629953115683034,0.0,0.08629953115683034,0.027373177276530904
0.25,vax2,2021-02-15,2016,1,0.0,0.20634255510586447,0.0,0.20634255510586447,0.027373177276530904
0.25,vax2,2021-02-15,2020,1,0.0,-0.011803369643112816,0.0,-0.011803369643112816,0.027373177276530904
0.25,vax2,2021-02-15,2050,1,0.0,0.03301845588373501,0.0,0.03301845588373501,0.027373177276530904
0.25,vax2,2021-02-15,2060,1,0.0,-0.254299772685897,0.0,-0.254299772685897,0.027373177276530904
0.25,vax2,2021-02-15,2068,1,0.0,0.0014150489863031742,0.0,0.0014150489863031742,0.027373177276530904
0.25,vax2,2021-02-15,2070,1,0.0,0.04694582889620887,0.0,0.04694582889620887,0.027373177276530904
0.25,vax2,2021-02-15,2090,1,0.0,-0.007837207783344407,0.0,-0.007837207783344407,0.027373177276530904
