fips5,ACCESS2_AdjPrev,ARTHRITIS_AdjPrev,BINGE_AdjPrev,BPMED_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CHECKUP_AdjPrev,CHOLSCREEN_AdjPrev,COLON_SCREEN_AdjPrev,CSMOKING_AdjPrev,DENTAL_AdjPrev,DEPRESSION_AdjPrev,Ed0,Ed1,Ed11,Ed12,Ed13,Ed14,Ed15,Ed2,Ed3,Ed4,Ed5,Ed6,Ed7,Ed8,Ed9,F_CROWD,F_GROUPQ,F_HBURD,F_LIMENG,F_MINRTY,F_MOBILE,F_MUNIT,F_NOVEH,F_SNGPNT,F_UNEMP,F_UNINSUR,HEARING_AdjPrev,HIGHCHOL_AdjPrev,LPA_AdjPrev,M,MAMMOUSE_AdjPrev,OBESITY_AdjPrev,SLEEP_AdjPrev,TEETHLOST_AdjPrev,age0,age1,age2,age3,age5,age6,age7,age8,density,income_0,income_1,income_11,income_12,income_13,income_14,income_15,income_2,income_3,income_4,income_5,income_6,income_7,income_8,income_9,race_asian,race_black,race_indian,race_pacific,total_population_county
24043,9.9,26.4,14.9,58.6,7.4,10.8,77.5,85.9,57.9,15.3,59.3,23.7,0.0098630442314754,0.0028029443724729,0.0775755146676084,0.1258249373851804,0.0647536029101645,0.0098942045192852,0.0062337477977872,0.0031906804214731,0.0149250388953608,0.0199207541132939,0.0303347644453693,0.0273054345991955,0.0154606470327929,0.3773848422421763,0.0874742278447316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,30.9,28.4,0.4864900736270031,74.7,39.0,41.0,14.8,0.1267865375749192,0.1388993671151347,0.1077999916174189,0.1123824692289422,0.1428671221202341,0.1162594129399108,0.0664459253670871,0.0444835631557622,305.88,0.0498096038672637,0.0241788091578608,0.153097933411671,0.0980116457322783,0.0714390968477165,0.064505366691679,0.0453449279453675,0.0289279960601324,0.0462578896269519,0.0374273484853833,0.0513139830359056,0.0319051387210074,0.0406890725438798,0.0475404690641494,0.0802739464577778,0.0173477615093658,0.0852977530147389,0.0021462840138728,0.0004367031663068,143154
24045,9.5,26.0,15.1,62.7,6.9,11.1,80.0,87.4,64.0,14.4,56.4,22.0,0.0077035626997451,0.0039841330720002,0.0654760486005101,0.1531943479601997,0.0815511772284735,0.0161701867968072,0.017471435430891,0.0099937462785048,0.0176981592127842,0.0158299260067769,0.025523932415795,0.0182229224636963,0.0162664133089801,0.3379688007537162,0.0605977404238696,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.6,35.7,27.9,0.4763658928166892,76.6,40.9,36.6,12.9,0.120696957459592,0.1717671161365941,0.1441980950880061,0.1139499837481654,0.1316497089444187,0.1083849616358209,0.0578171323884286,0.0366601987648605,253.82,0.0441875636601174,0.0356304379795882,0.1457343796768557,0.1026193808079203,0.0630912164723912,0.0577818476631893,0.0338245855699875,0.0370864415720091,0.0491049454334457,0.0479190263182068,0.0555058844339677,0.0468517625803017,0.0417560577739818,0.0392420442842985,0.0834981521028232,0.0329649244810019,0.2611911032204764,0.0021933355926521,0.0006578780728808,101527
24047,7.7,24.5,20.6,57.9,7.4,10.4,78.4,87.6,63.4,13.1,63.0,22.6,0.0092183199638925,0.0020416014678176,0.0643351625156444,0.1883114674859104,0.0788999674777522,0.019374671299867,0.009833384069924,0.0043496829615446,0.0140602515190455,0.0106477446634496,0.0201165996847868,0.0236717580939941,0.021410817616977,0.3251598933354278,0.0719086142879597,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.5,32.8,23.1,0.4859742228961334,77.7,33.5,32.1,7.1,0.0965766606403452,0.109990085729282,0.0937967768900293,0.0909585739001963,0.154623743706382,0.1603195894325537,0.113294842635252,0.0613518399720067,74.02,0.0414771619600406,0.0199201534144372,0.1417949388586714,0.0916447495535595,0.0741542447183454,0.0737928015424711,0.0562263741709707,0.0272376232988244,0.0327325487788294,0.0379720592864676,0.0480705261261684,0.0470143053884736,0.0503279346722185,0.0443749862037117,0.0801748995247498,0.0143749546625006,0.139838704592048,0.0015784345778764,0.0011655439708567,51441
24510,10.1,24.7,15.8,61.9,5.5,12.7,80.1,87.3,63.1,16.0,53.7,23.6,0.0136646564723579,0.0049150963874256,0.0466872506096585,0.1514873814052917,0.0886574361230935,0.0289265037686689,0.0196484873952629,0.0099169479034433,0.0230272685331011,0.0199566961140112,0.0364665606231557,0.0367921444164091,0.0213972316110687,0.3015787618879429,0.0516693280869595,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,33.6,27.2,0.4668564946188326,81.4,38.8,42.1,14.7,0.1266630261305977,0.1308463921312412,0.1613050021615682,0.1478106401167571,0.1334906564991694,0.0997588144854329,0.0505514437000848,0.0319164496972178,6687.98,0.0845611146360673,0.0511168505340438,0.1162930146653638,0.0723795988557195,0.0518729180644878,0.0524103990632438,0.0672064670552144,0.0467655884191573,0.0455481662659146,0.0509296932502667,0.0499196935187215,0.0451725153647017,0.0453337349069364,0.0443333046072944,0.0783877750475223,0.0266524829415027,0.6490188677731692,0.0031337327574719,0.0005865173194375,615294
25001,4.1,24.1,19.1,57.1,7.9,11.8,80.0,89.2,66.7,11.4,73.3,25.3,0.0051891584928701,0.0010281009602811,0.0921982353461662,0.2340000537720049,0.1240788753679275,0.0257551511936669,0.0202212745665835,0.0017416692360721,0.0063812195042194,0.0063834441848142,0.0065110071626238,0.0095331162558601,0.0105024019658853,0.2558401039601422,0.0646385907299127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,29.7,16.5,0.477599288319213,82.4,26.8,32.5,10.6,0.0790533900318113,0.1102546308155917,0.0846192181758056,0.0869945925301462,0.1610829844017084,0.1691359692226005,0.1201753119425438,0.0774977527095568,542.18,0.0192804741320563,0.0175040568781875,0.1703664873382191,0.126643298482884,0.0893875973928739,0.0855493271818114,0.0813839335854084,0.0184420622332212,0.0292080936003363,0.0308259440968241,0.0356047505836947,0.031917527806882,0.0492899510347661,0.0315380445519955,0.0678897133242186,0.0148457159998489,0.0273364872509411,0.0044720586611243,0.0009021008122419,214703
25003,5.2,23.7,18.9,55.4,7.5,12.2,77.9,87.5,62.8,13.3,67.2,27.0,0.0085827815331663,0.0023812669772547,0.0906438099268786,0.1821124725196762,0.1021518090212445,0.0252266005874388,0.0194697674805769,0.0046120722334196,0.0152514680678867,0.0119517026038545,0.0185221546537402,0.0172765547266217,0.0147306729844573,0.3051678935305355,0.0671846494734308,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,29.5,20.4,0.4832261226013705,78.4,31.5,38.2,10.1,0.090865956768277,0.1377612532377121,0.0994842995263022,0.1014055365851761,0.1597038028048505,0.1420548680413493,0.083258791409659,0.0600017112232912,138.09,0.0444227711206332,0.0308052322185007,0.1537313560310719,0.1008690508812441,0.0752036835975141,0.0595664721348535,0.0700273795325562,0.0338327465244953,0.0353317668178983,0.0366388594178703,0.045187338414864,0.0348766681690685,0.0471234883890963,0.0497653408076379,0.0740771092417835,0.016023004715486,0.0282603238647706,0.0024386725734181,0.0004044208855825,128563
25005,6.3,24.0,18.6,55.5,7.3,12.7,80.2,87.5,61.4,16.0,68.1,24.5,0.0217050906176661,0.0225277366146225,0.0908094559481863,0.1696985119591722,0.0746065007763369,0.0126623080726091,0.009525279831606,0.0126195166432174,0.0280397308889533,0.0188065728991228,0.0240345932074776,0.019486497538748,0.0157488302088887,0.2989772947640828,0.0609005784989024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,31.7,23.9,0.4843296063207826,82.0,32.0,35.3,14.5,0.1130394976823316,0.1409686628171024,0.1160636403613111,0.1192535882408068,0.1492679339951123,0.1108425787754925,0.0620219583756857,0.0453549312629309,997.96,0.0404877968426486,0.0347181799324153,0.1534656218582156,0.1160833126637485,0.0824750751193349,0.0874897778560569,0.0642525008054659,0.0334026176093461,0.0350381684739991,0.0357489342419137,0.0363680610281125,0.0368581636227485,0.0370916136040513,0.0367935516887279,0.0730711964546577,0.0232971822918586,0.0450335222389146,0.0015260680064994,0.0005795643001774,554868
25007,4.2,22.3,19.6,54.3,7.7,11.7,78.8,88.7,64.9,11.2,72.0,25.7,0.005947822812724,0.0,0.0683488146695605,0.2357419239651099,0.1013011910065164,0.0352353673635069,0.021016684524548,0.006430217157141,0.0026284180428313,0.0076599909381311,0.0047579084077939,0.023277065776581,0.0216447033673048,0.2424211064697333,0.0346634297197192,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,28.9,16.9,0.4803057711384723,81.8,25.3,34.3,5.6,0.0875299060512341,0.1273268366691952,0.0961078368442551,0.1115131003092723,0.1523603897998482,0.1707416700706074,0.0738168874365407,0.0518177043823305,164.78,0.0514301133226905,0.0106116948104498,0.1349654587429115,0.1479687174414608,0.095398906785713,0.0636085000158655,0.1254451539990477,0.0090260749109728,0.013785544363998,0.037188459339352,0.0716323040304063,0.0276573213308689,0.0494394361397542,0.0250040750346909,0.0610548521612933,0.0033105742949129,0.0404328305779684,0.0190505983014987,0.0,17137
25009,6.5,21.4,17.3,55.5,7.1,11.5,79.1,88.2,63.5,11.5,70.1,23.0,0.0165787739624916,0.0110885151314207,0.0827242399758556,0.2231267629988966,0.1128992856759033,0.023451474841008,0.0145172027253217,0.0134097405792828,0.0193645259998201,0.0121421343445054,0.0128450984269341,0.013857074005782,0.0146737921190394,0.2578878556148564,0.0508003509829541,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.5,30.6,23.2,0.4816172360995214,83.6,30.0,36.7,15.6,0.1154333070778124,0.1463810273967261,0.1121604654245985,0.1171217190347326,0.1530163954029442,0.1142479093066722,0.0592113985354098,0.0455325321500151,1544.9,0.0370690071996225,0.0278215143632195,0.1390635421268379,0.1096692629482067,0.0842897224359309,0.109711564248408,0.122875472804019,0.028110524194107,0.0292842560733,0.0307769669735808,0.0342494659653756,0.0329007233025536,0.0334476988641612,0.0280868021442299,0.0612732229620692,0.0420633204863365,0.0582679062500405,0.0030060858866955,0.0004522599777879,769362
25011,5.0,24.2,19.2,54.1,7.7,12.0,78.5,87.6,64.5,13.1,72.3,27.1,0.0083063791616134,0.0008507691580637,0.1077734813810614,0.185094693575177,0.1330737442358575,0.0165921807328102,0.0242224577871784,0.0011474798270657,0.0090934363038464,0.0128874999575827,0.0175988371783885,0.0124705896969111,0.010468235237623,0.2763545047346578,0.0617205534514359,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,30.2,20.4,0.4896074228664899,81.4,26.1,34.2,14.1,0.0935754977720119,0.1220175982852952,0.1031643070675164,0.1109058604546223,0.1711884483050369,0.1548733713125387,0.0646962603643747,0.0463224096113711,101.02,0.0311056826496273,0.0223375280262478,0.1789898427028396,0.1134061609516423,0.074840547582674,0.0644319230670953,0.0516887086706003,0.0305400831768699,0.036552078122389,0.024720210636856,0.0461094164536001,0.0413216268031066,0.0436440447570781,0.0446920761910263,0.0818048409532561,0.0167581721707883,0.01369938935075,0.0024986958256622,0.0008319702182864,70916
25013,8.5,25.7,17.6,57.1,7.1,12.8,78.7,86.5,59.6,15.2,60.5,27.5,0.0172240335007045,0.0131935941386938,0.0961576492708545,0.152527312310093,0.0772296675966172,0.0163200733311843,0.0078416782742683,0.0112418029397393,0.0227516623550168,0.0212268399799005,0.0240625757006591,0.0255514775175437,0.0197928596464963,0.302995309265961,0.0611931609364625,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.2,30.6,29.0,0.4826351501478405,80.9,35.2,39.5,14.5,0.1167598147293578,0.1567707532174536,0.1252307337332717,0.1158197884086208,0.1424246697089336,0.110141174861987,0.0593498436138029,0.0458561930643148,757.4,0.0672808592753401,0.0433855648592749,0.1363602068287279,0.0996014747112861,0.0653786720824627,0.0646848055521494,0.0477939809786889,0.0480024319368578,0.0428702480816556,0.0409219329144208,0.0487707607632355,0.0517229191928594,0.0382344548494863,0.0388401168415625,0.0730467849203968,0.0236850656484538,0.1046816388914936,0.0038757978185985,0.0003472531092723,468072
25015,4.5,22.4,17.9,54.7,7.7,12.1,79.8,88.8,65.5,11.4,69.5,27.8,0.0066677437030079,0.0024222680126471,0.0857206712806037,0.2299049930966377,0.1530921079186513,0.0280367018207769,0.0568172280240485,0.0038711054022131,0.0066479822786974,0.0043936361203393,0.0122228526439141,0.01607667956329,0.0112382370079553,0.2247356177247483,0.0413998270528883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,28.1,17.7,0.4653782107595683,83.8,24.4,33.6,13.7,0.0842697365833191,0.1770228276974313,0.1526807138080689,0.0998662593257896,0.1443481453315326,0.1229693052040856,0.0589770149605989,0.0396764000157341,288.34,0.0338324639113947,0.0158335862967248,0.1693373232153167,0.1298241549629871,0.1226331257930747,0.0864203721314176,0.0772980106984712,0.0185548201337,0.0277601591294425,0.0376926027177949,0.0351900352988957,0.0316246539978565,0.0271857533869029,0.0285997369771881,0.0706557071668268,0.048930172733572,0.027683257423922,0.0017017602350782,0.0005004424611103,152534
25017,4.1,20.8,17.4,53.7,7.1,11.1,78.9,90.0,65.3,9.3,73.1,24.1,0.0120162498938893,0.0057449136584417,0.0602790753893426,0.2654253356163897,0.1802701881104897,0.0385601765060772,0.0474703419845594,0.0077805255347012,0.0105601659512859,0.0072212785158819,0.008921855888845,0.0088494966927469,0.0129118437706978,0.2037669026931101,0.0400398857558579,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.7,31.8,17.9,0.4878452023366409,81.6,23.8,31.3,10.1,0.111844628613543,0.1353429436221008,0.131408202063226,0.1383101677691839,0.1430235335323861,0.1032669560467916,0.055371962741295,0.0399646801717839,1895.3,0.0265103157346064,0.0171891992881411,0.1236617569658518,0.1166816862520814,0.0981439827216029,0.1378885813805485,0.1927280711395042,0.0184854918313627,0.021326500372296,0.0210463505372666,0.0250321793382905,0.0241464705734801,0.0248710077983291,0.0252130693702883,0.0532002372747331,0.1151990836572154,0.0547563036561821,0.0016371648098548,0.0002894857449793,1561729
25019,4.8,21.1,20.1,55.0,7.4,10.8,79.6,90.0,65.8,8.8,74.9,22.7,0.0033138629073759,0.0,0.0689825601465256,0.2412024201716253,0.141520953211191,0.0311566282008332,0.0101871127074091,0.0027928433389439,0.0029046341329428,0.0029255152495666,0.0138569712664604,0.0142731264585623,0.0125606160793307,0.2488809571467053,0.0509018665615294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,30.3,16.4,0.5356274546474659,82.1,26.9,31.6,9.3,0.1167944641855245,0.1105292687488311,0.1081915092575275,0.1733682438750701,0.1466242752945576,0.1186646717785673,0.0584439872825883,0.0299233214886852,222.79,0.0059223240446356,0.0174189791045839,0.1184548415039986,0.1900750283265439,0.0889470949677029,0.1387494388124842,0.1573724482673503,0.0043430376327327,0.0355711047946834,0.0260805987898815,0.011461530754639,0.0062246364406314,0.0253307404148541,0.0038598207477952,0.0728680196505159,0.0102599675654833,0.0747353653622597,0.0061182139605798,0.0,10694
25021,4.0,21.7,18.3,55.6,7.3,10.8,79.8,90.0,64.6,9.3,70.9,22.6,0.009679580790244,0.0031104613381952,0.0748457561574089,0.2831452545899335,0.1578961503589221,0.0462594736446496,0.0337337012593975,0.0051198024660612,0.0080338412565417,0.0059461297255199,0.007979862179811,0.0077554208923286,0.0120469604524187,0.2044871456810149,0.0418127807208794,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.7,31.5,16.4,0.4791831231246871,86.4,23.4,33.7,8.9,0.1139785132910311,0.1399674198299233,0.1110517955261581,0.1222711214117687,0.1517119056506051,0.1090611066262741,0.0622365158314742,0.0473960458205659,1728.04,0.0231074666257336,0.0140229950169461,0.1300794472689947,0.126730259442679,0.0993916957479729,0.1391432755605728,0.205798429811894,0.0137739371258717,0.0183274243705544,0.0194659079993675,0.0194362910401641,0.02064909081983,0.0211833778565435,0.0244212516827239,0.0446871223049815,0.1040672771159156,0.0675541459986952,0.0009756147048738,0.0001182594113039,691218
